GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,STL,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-08,NO,New Orleans Pelicans,Derik Queen,13.0,5.0,8.0,0.0,5,14,35.7,1,4,25.0,2,2,100.0,39.3,43.7,25,0,0,1,0,0,0,0,13.0,13.0,25.0,25.0
2025-11-08,LAC,LA Clippers,Derrick Jones Jr.,7.0,0.0,1.0,0.0,2,7,28.6,0,4,0.0,3,5,60.0,28.6,38.0,27,0,0,0,0,0,0,0,7.0,7.0,0.0,0.0
2025-11-08,PHX,Phoenix Suns,Devin Booker,21.0,10.0,9.0,0.0,8,19,42.1,0,3,0.0,5,5,100.0,42.1,49.5,38,0,0,0,1,1,0,0,21.0,21.0,0.0,0.0
2025-11-08,SA,San Antonio Spurs,Devin Vassell,16.0,2.0,0.0,0.0,6,13,46.2,4,8,50.0,0,0,0.0,61.5,61.5,33,0,1,1,0,0,0,0,16.0,16.0,50.0,50.0
2025-11-08,PHX,Phoenix Suns,Dillon Brooks,16.0,2.0,3.0,2.0,4,6,66.7,2,3,66.7,6,7,85.7,83.3,88.1,28,0,0,1,0,0,0,1,16.0,16.0,66.7,66.7
2025-11-08,POR,Portland Trail Blazers,Donovan Clingan,13.0,7.0,0.0,2.0,6,9,66.7,1,3,33.3,0,0,0.0,72.2,72.2,21,0,0,1,0,0,0,0,13.0,13.0,33.3,33.3
2025-11-08,CLE,Cleveland Cavaliers,Donovan Mitchell,29.0,6.0,6.0,1.0,10,24,41.7,5,12,41.7,4,4,100.0,52.1,56.3,35,0,1,1,1,1,0,0,29.0,29.0,41.7,41.7
2025-11-08,MIA,Miami Heat,Dru Smith,13.0,5.0,6.0,4.0,4,6,66.7,0,2,0.0,5,6,83.3,66.7,75.2,22,0,0,0,0,0,0,0,13.0,13.0,0.0,0.0
2025-11-08,POR,Portland Trail Blazers,Duop Reath,6.0,3.0,0.0,0.0,2,3,66.7,2,3,66.7,0,0,0.0,100.0,100.0,12,0,0,0,0,0,0,0,6.0,6.0,66.7,66.7
2025-11-08,DAL,Dallas Mavericks,Dwight Powell,2.0,1.0,1.0,2.0,1,2,50.0,0,0,0.0,0,0,0.0,50.0,50.0,6,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0
