GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,STL,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL
2025-10-28,MIA,Miami Heat,Dru Smith,5.0,0.0,5.0,2,3,66.7,1,2,50.0,0,0,0.0,83.3,83.3,16,0,0,83.3,83.3,83.3,83.3,5.0,5.0,50.0,50.0,,,,,,
2025-10-28,PHI,Philadelphia 76ers,Eric Gordon,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,GS,Golden State Warriors,Gary Payton II,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,MIL,Milwaukee Bucks,Gary Trent Jr.,11.0,3.0,3.0,4,9,44.4,2,5,40.0,1,1,100.0,55.6,58.3,31,0,0,55.6,55.6,58.3,58.3,11.0,11.0,40.0,40.0,,,,,,
2025-10-28,MIL,Milwaukee Bucks,Giannis Antetokounmpo,37.0,8.0,7.0,16,22,72.7,0,1,0.0,5,7,71.4,72.7,73.8,33,1,0,72.7,72.7,73.8,73.8,37.0,37.0,0.0,0.0,,,,,,
2025-10-28,GS,Golden State Warriors,Gui Santos,0.0,0.0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Isaiah Hartenstein,4.0,14.0,3.0,2,3,66.7,0,0,0.0,0,1,0.0,66.7,58.1,31,0,0,66.7,66.7,58.1,58.1,4.0,4.0,0.0,0.0,,,,,,
2025-10-28,LAC,LA Clippers,Ivica Zubac,14.0,12.0,1.0,7,12,58.3,0,0,0.0,0,0,0.0,58.3,58.3,24,0,0,58.3,58.3,58.3,58.3,14.0,14.0,0.0,0.0,,,,,,
2025-10-28,PHI,Philadelphia 76ers,Jabari Walker,8.0,2.0,0.0,3,3,100.0,0,0,0.0,2,2,100.0,100.0,103.1,6,0,0,100.0,100.0,103.1,103.1,8.0,8.0,0.0,0.0,,,,,,
2025-10-28,MIA,Miami Heat,Jahmir Young,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,LAC,LA Clippers,Jahmyl Telfort,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,MIA,Miami Heat,Jaime Jaquez Jr.,28.0,4.0,5.0,9,14,64.3,2,4,50.0,8,8,100.0,71.4,79.9,28,0,0,71.4,71.4,79.9,79.9,28.0,28.0,50.0,50.0,,,,,,
2025-10-28,NY,New York Knicks,Jalen Brunson,36.0,4.0,3.0,14,25,56.0,1,5,20.0,7,9,77.8,58.0,62.2,35,1,0,58.0,58.0,62.2,62.2,36.0,36.0,20.0,20.0,,,,,,
2025-10-28,LAC,LA Clippers,James Harden,20.0,4.0,1.0,6,15,40.0,1,5,20.0,7,7,100.0,43.3,55.3,32,0,0,43.3,43.3,55.3,55.3,20.0,20.0,20.0,20.0,,,,,,
2025-10-28,WSH,Washington Wizards,Jamir Watkins,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,OKC,Oklahoma City Thunder,Jaylin Williams,3.0,5.0,4.0,1,6,16.7,1,6,16.7,0,0,0.0,25.0,25.0,17,0,0,25.0,25.0,25.0,25.0,3.0,3.0,16.7,16.7,,,,,,
2025-10-28,GS,Golden State Warriors,Jimmy Butler III,21.0,5.0,5.0,9,12,75.0,3,4,75.0,0,0,0.0,87.5,87.5,32,0,0,87.5,87.5,87.5,87.5,21.0,21.0,75.0,75.0,,,,,,
2025-10-28,PHI,Philadelphia 76ers,Joel Embiid,25.0,7.0,5.0,9,17,52.9,3,6,50.0,4,6,66.7,61.8,63.6,23,0,0,61.8,61.8,63.6,63.6,25.0,25.0,50.0,50.0,,,,,,
2025-10-28,LAC,LA Clippers,John Collins,5.0,7.0,0.0,2,6,33.3,0,2,0.0,1,2,50.0,33.3,36.3,23,0,0,33.3,33.3,36.3,36.3,5.0,5.0,0.0,0.0,,,,,,
2025-10-28,GS,Golden State Warriors,Jonathan Kuminga,9.0,5.0,1.0,4,11,36.4,1,2,50.0,0,1,0.0,40.9,39.3,26,0,0,40.9,40.9,39.3,39.3,9.0,9.0,50.0,50.0,,,,,,
2025-10-28,NY,New York Knicks,Jordan Clarkson,10.0,1.0,1.0,4,7,57.1,2,3,66.7,0,0,0.0,71.4,71.4,17,0,0,71.4,71.4,71.4,71.4,10.0,10.0,66.7,66.7,,,,,,
2025-10-28,NY,New York Knicks,Josh Hart,3.0,4.0,4.0,1,5,20.0,1,4,25.0,0,0,0.0,30.0,30.0,26,0,0,30.0,30.0,30.0,30.0,3.0,3.0,25.0,25.0,,,,,,
2025-10-28,WSH,Washington Wizards,Justin Champagnie,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
