PLAYER,TEAM,TEAM_FULL,GAME_DATE,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,r3_EFG,r5_EFG,r3_TS,r5_TS
Isaiah Stewart,DET,Detroit Pistons,2025-11-07,13.333333333333334,11.8,19.444444444444443,31.666666666666664,70.37037037037037,71.65079365079364,72.84668389319552,73.12353545007257
Sion James,CHA,Charlotte Hornets,2025-11-07,10.333333333333334,9.4,43.333333333333336,56.0,62.5,71.5,68.35834649815693,76.33944695286627
Isaiah Joe,OKC,Oklahoma City Thunder,2025-11-07,16.666666666666668,16.6,46.666666666666664,45.11111111111111,65.97222222222223,66.25,69.3323770689134,67.96070988524038
Tari Eason,HOU,Houston Rockets,2025-11-07,14.0,13.6,61.666666666666664,63.666666666666664,76.28205128205128,75.63936063936065,77.54562920268971,76.39750739174369
Brandin Podziemski,GS,Golden State Warriors,2025-11-07,11.333333333333334,11.8,30.555555555555554,30.0,48.333333333333336,53.25,51.350680002640786,55.665850178455216
Ace Bailey,UTAH,Utah Jazz,2025-11-07,8.333333333333334,7.4,16.666666666666668,10.0,51.85185185185185,43.61111111111111,56.239478553640254,48.0004438889409
Wendell Carter Jr.,ORL,Orlando Magic,2025-11-07,15.0,14.2,47.22222222222222,60.33333333333333,65.41666666666667,82.58333333333333,70.24809212882607,85.54414647927828
Walter Clayton Jr.,UTAH,Utah Jazz,2025-11-07,5.666666666666667,4.8,33.333333333333336,40.0,66.66666666666667,55.0,74.83733733733733,63.099123713877816
Will Richard,GS,Golden State Warriors,2025-11-07,16.333333333333332,13.5,60.833333333333336,58.125,87.77777777777779,86.66666666666667,87.32121463850179,86.32424431220969
Ajay Mitchell,OKC,Oklahoma City Thunder,2025-11-07,15.666666666666666,15.4,33.333333333333336,25.71428571428571,51.21212121212121,45.06060606060606,58.683091157476404,55.22827873076702
Vince Williams Jr.,MEM,Memphis Grizzlies,2025-11-07,4.666666666666667,7.0,16.666666666666668,23.333333333333332,26.666666666666668,40.92063492063492,42.350273442710424,50.95443930533297
Naz Reid,MIN,Minnesota Timberwolves,2025-11-07,10.333333333333334,10.8,37.22222222222222,38.33333333333333,55.79365079365079,51.553113553113555,56.71237870884514,51.59131517241676
Alex Caruso,OKC,Oklahoma City Thunder,2025-11-07,6.333333333333333,5.4,35.55555555555555,29.333333333333332,60.0,48.0,61.77548682703321,50.67073427309067
Jericho Sims,MIL,Milwaukee Bucks,2025-11-07,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,18.93939393939394,14.204545454545455
Tyus Jones,ORL,Orlando Magic,2025-11-07,2.0,2.8,0.0,16.666666666666664,25.0,42.5,25.0,42.5
Jaylin Williams,OKC,Oklahoma City Thunder,2025-11-07,4.0,6.2,27.3015873015873,31.936507936507933,40.952380952380956,47.904761904761905,40.952380952380956,48.079180509413064
Jaylen Wells,MEM,Memphis Grizzlies,2025-11-07,6.666666666666667,8.6,44.444444444444436,36.11111111111111,55.55555555555555,49.6969696969697,54.34686608249665,48.704116110457946
Javonte Green,DET,Detroit Pistons,2025-11-07,4.666666666666667,6.0,22.222222222222218,38.33333333333333,29.166666666666668,47.16666666666667,42.7280675583843,55.30350720169724
Ziaire Williams,BKN,Brooklyn Nets,2025-11-07,7.666666666666667,9.0,26.507936507936506,24.047619047619044,34.9537037037037,38.71527777777778,42.52102130723938,46.99299646370091
Javon Small,MEM,Memphis Grizzlies,2025-11-07,0.6666666666666666,1.25,0.0,25.0,16.666666666666668,31.25,16.666666666666668,31.25
Myles Turner,MIL,Milwaukee Bucks,2025-11-07,14.0,13.6,48.61111111111111,54.166666666666664,63.095238095238095,67.02380952380952,65.20788326198459,66.37279197269464
Moussa Diabate,CHA,Charlotte Hornets,2025-11-07,11.0,10.8,0.0,0.0,70.37037037037037,64.22222222222221,68.78838697513417,66.93219920550406
AJ Green,MIL,Milwaukee Bucks,2025-11-07,9.333333333333334,11.0,50.0,46.57142857142857,75.0,71.19047619047619,74.3993993993994,70.52875273356403
Zach LaVine,SAC,Sacramento Kings,2025-11-07,18.333333333333332,21.6,44.27350427350427,44.8974358974359,61.8716577540107,63.11489748641452,67.40918808049983,69.19986248738769
DeMar DeRozan,SAC,Sacramento Kings,2025-11-07,20.666666666666668,22.0,19.047619047619047,11.428571428571427,52.09653092006033,51.78423434150989,57.34690396190907,59.99574921475228
Aaron Gordon,DEN,Denver Nuggets,2025-11-07,20.666666666666668,17.0,43.333333333333336,31.0,63.35227272727273,57.10227272727273,67.69948071294063,64.9050847290758
Nae'Qwan Tomlin,CLE,Cleveland Cavaliers,2025-11-07,3.0,3.0,0.0,0.0,25.0,25.0,30.737704918032787,30.737704918032787
Jaylen Brown,BOS,Boston Celtics,2025-11-07,34.333333333333336,29.4,22.222222222222218,24.76190476190476,56.150793650793645,58.051378446115294,60.108349127856535,60.38446954420549
Jaylen Clark,MIN,Minnesota Timberwolves,2025-11-07,3.6666666666666665,4.25,66.66666666666667,50.0,56.944444444444436,55.20833333333333,52.494604399136705,51.87095329935253
Jaren Jackson Jr.,MEM,Memphis Grizzlies,2025-11-07,15.666666666666666,16.4,32.38095238095238,44.42857142857143,60.846560846560855,65.34126984126985,69.05411861968263,70.25753728804514
Will Riley,WSH,Washington Wizards,2025-11-07,1.3333333333333333,1.6,0.0,0.0,22.222222222222218,30.0,22.222222222222218,30.0
AJ Johnson,WSH,Washington Wizards,2025-11-07,1.6666666666666667,1.4,0.0,0.0,8.333333333333334,11.666666666666666,32.60059612518629,26.22702434177844
